id,Nombre,Plataforma,Marca,Puntuacion_usuario
2754,MotoGP,PlayStation2,PlayStation,58.0
2755,Ace Combat Assault Horizon: Enhanced Edition,PC,PC_Gamer,58.0
2756,Flushed Away,PlayStation2,PlayStation,58.0
2757,Unrest,PC,PC_Gamer,58.0
2758,Eets: Chowdown,Xbox360,Xbox,58.0
2759,Madden NFL 13,Xbox360,Xbox,58.0
2760,Arcade Darts,PSP,PlayStation,58.0
2761,Sky Force Anniversary,XboxOne,Xbox,58.0
2762,Project CARS,XboxOne,Xbox,58.0
2763,Just Dance 2019,XboxOne,Xbox,58.0
2764,Tumblestone,XboxOne,Xbox,58.0
2765,Magic: The Gathering - Duels of the Planeswalkers 2012,PC,PC_Gamer,58.0
2766,Detective Gallo,Switch,Nintendo,58.0
2767,Final Fight: Streetwise,Xbox,Xbox,58.0
2768,Risen 3: Titan Lords,PC,PC_Gamer,58.0
2769,Timespinner,PlayStation4,PlayStation,58.0
2770,Tetris Party Deluxe,Wii,Nintendo,58.0
2771,WWE 2K Battlegrounds,XboxOne,Xbox,58.0
2772,Conan Exiles,XboxOne,Xbox,58.0
2773,GRID 2,PC,PC_Gamer,58.0
2774,Sherlock Holmes: The Mystery of the Mummy,PC,PC_Gamer,58.0
2775,Heavy Metal: Geomatrix,Dreamcast,OTRO,58.0
2776,Stela,Switch,Nintendo,58.0
2777,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PlayStation3,PlayStation,58.0
2778,Tenchu: Dark Secret,DS,Nintendo,58.0
2779,Star Control: Origins,PC,PC_Gamer,58.0
2780,Made Man: Confessions of the Family Blood,PC,PC_Gamer,58.0
2781,Naval War: Arctic Circle,PC,PC_Gamer,58.0
2782,DRIV3R,PlayStation2,PlayStation,58.0
2783,Avatar: The Last Airbender,Wii,Nintendo,58.0
2784,The Sinking City,PC,PC_Gamer,58.0
2785,Wizorb,PSP,PlayStation,58.0
2786,Life is Strange 2: Episode 1 - Roads,PC,PC_Gamer,58.0
2787,EA Sports UFC 2,PlayStation4,PlayStation,58.0
2788,Just Dance 2018,PlayStation4,PlayStation,58.0
2789,War Thunder,PC,PC_Gamer,58.0
2790,Madden NFL 25,XboxOne,Xbox,58.0
2791,Need for Speed: Rivals,XboxOne,Xbox,58.0
2792,Space Hulk: Tactics,PC,PC_Gamer,58.0
2793,NHL 2K6,PlayStation2,PlayStation,58.0
2794,The Sims 4: Get to Work,PC,PC_Gamer,58.0
2795,Ancients of Ooga,Xbox360,Xbox,58.0
2796,Altered Beast: Guardian of the Realms,GameBoyAdvance,Nintendo,58.0
2797,ProStroke Golf - World Tour 2007,PlayStation2,PlayStation,58.0
2798,KAO the Kangaroo,Dreamcast,OTRO,58.0
2799,MotoGP 13,Xbox360,Xbox,58.0
2800,Dragonriders: Chronicles of Pern,PC,PC_Gamer,58.0
